name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
DOCTOR EXTRA SOFT House Slipper for Women's Care Dr Orthopaedic Super Comfort Fitting Flat Cushion Chappal Flip-Flop for L...,women's shoes,Shoes,https://m.media-amazon.com/images/I/61bvRBm4MuL._AC_UL320_.jpg,https://www.amazon.in/DOCTOR-EXTRA-SOFT-Womens-Slippers/dp/B08DXGDQF2/ref=sr_1_21?qid=1679211495&s=shoes&sr=1-21,4.0,"22,816",₹399,₹599
BATA Women's Tricia Fashion Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/I/71unBvnSvhL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Fashion-Sandals-5-7616783/dp/B07S55N3XP/ref=sr_1_22?qid=1679211495&s=shoes&sr=1-22,4.1,"2,449",₹629,"₹1,066"
DRUNKEN Slipper For Men's and Women's Flip Flops Massage Fashion Slides Open Toe Non Slip,women's shoes,Shoes,https://m.media-amazon.com/images/I/51yyjLMuVGL._AC_UL320_.jpg,https://www.amazon.in/DRUNKEN-Slipper-Womens-Massage-Fashion/dp/B09SD8CTS2/ref=sr_1_23?qid=1679211495&s=shoes&sr=1-23,4.0,"1,532",₹388,₹799
"ASIAN Women's Cute Sports Running Shoes,Walking, Gym Casual Sneaker Lace-Up Shoes for Girl's",women's shoes,Shoes,https://m.media-amazon.com/images/I/61vRXtZcy7L._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Womens-Multicolored-Running-Walking/dp/B0855NXGXM/ref=sr_1_24?qid=1679211495&s=shoes&sr=1-24,3.9,"8,151",₹534,₹799
"Dr Foot Heel Grips for Men and Women, Self-Adhesive Heel Cushion Inserts Prevent Heel Slipping, Rubbing, Blisters, Foot Pa...",women's shoes,Shoes,https://m.media-amazon.com/images/I/71LtgAcgfZL._AC_UL320_.jpg,https://www.amazon.in/Self-Adhesive-Cushion-Inserts-Slipping-Blisters/dp/B07PZYZ4WG/ref=sr_1_25_mod_primary_new?qid=1679211495&s=shoes&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-25,3.5,"1,223",₹149,₹499
Campus Women's Jessica Running Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/I/51D8Wtv3zeL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Jessica-FIROZI-Running/dp/B09WJ8X14C/ref=sr_1_26?qid=1679211495&s=shoes&sr=1-26,4.0,"2,593",₹770,"₹1,119"
"Kraasa Casual Sneakers for Women | Latest Trend Casual Shoes, Walking Shoes for Women",women's shoes,Shoes,https://m.media-amazon.com/images/I/71YGQlB80qL._AC_UL320_.jpg,https://www.amazon.in/Kraasa-Casual-Sneakers-Latest-Walking/dp/B0B6853YLW/ref=sr_1_27?qid=1679211495&s=shoes&sr=1-27,3.8,240,₹299,₹999
Liberty Women LPMXT-801 Casual Clogs,women's shoes,Shoes,https://m.media-amazon.com/images/I/61IzT71fuXL._AC_UL320_.jpg,https://www.amazon.in/Liberty-LPMXT-801-Purple-Clogs-6-60960011/dp/B096KT9VQ8/ref=sr_1_28?qid=1679211495&s=shoes&sr=1-28,3.8,440,₹360,₹799
crocs unisex-adult Bayaband Slide Sliders,women's shoes,Shoes,https://m.media-amazon.com/images/I/61ePd6P+-dL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisex-Bayaband-Slipper-205392-0GX/dp/B098LZFDMH/ref=sr_1_29?qid=1679211495&s=shoes&sr=1-29,4.3,"5,068","₹1,296","₹2,995"
"BATA Women Sepia Sneakers, Grey, (5592715)",women's shoes,Shoes,https://m.media-amazon.com/images/I/81t5VTbw6VL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Sepia-Sneakers-6-5599716/dp/B07V1NZZQX/ref=sr_1_30?qid=1679211495&s=shoes&sr=1-30,4.0,"2,957",₹383,₹599
Sparx Womens Sx9036l Loafer,women's shoes,Shoes,https://m.media-amazon.com/images/I/916drJxNSmL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Womens-Pink-Sneakers-SX9036LPKGY0005/dp/B0B4P1YSVG/ref=sr_1_31?qid=1679211495&s=shoes&sr=1-31,4.2,606,₹549,₹999
BATA Women's Cicilia Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/I/814+JVzMDTL._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-Cicilia-Sandal-6612969/dp/B08THY5X5B/ref=sr_1_32?qid=1679211495&s=shoes&sr=1-32,3.9,435,₹917,"₹1,699"
Sparx womens Sf0019l Flip-Flops,women's shoes,Shoes,https://m.media-amazon.com/images/I/714cznDkj3L._AC_UL320_.jpg,https://www.amazon.in/Sparx-Womens-Black-Slippers-7-SF0019L/dp/B07QQSJRKX/ref=sr_1_33?qid=1679211495&s=shoes&sr=1-33,4.1,452,₹318,₹374.50
ASIAN womens Melody-71 Loafer,women's shoes,Shoes,https://m.media-amazon.com/images/I/61QJ3iZPNYL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Melody-71-Running-Training-Numeric_6/dp/B0B56P9LBR/ref=sr_1_34?qid=1679211495&s=shoes&sr=1-34,3.9,"1,758",₹439,₹699
SHOEGR Sneaker Crease Remover | Shoe Crease Decreaser for both Men & Women | Pack of 1 (Large (UK7-UK12)),women's shoes,Shoes,https://m.media-amazon.com/images/I/41sarOljUBL._AC_UL320_.jpg,https://www.amazon.in/SHOEGR-Sneaker-Remover-Decreaser-UK7-UK12/dp/B0BTLSPV1D/ref=sr_1_35?qid=1679211495&s=shoes&sr=1-35,4.5,13,₹399,₹549
ORTHO JOY Doctor Orthopedic Soft Slippers For Ladies Daily Use/mcr chappals for women/ortho slippers women,women's shoes,Shoes,https://m.media-amazon.com/images/I/718rAIpirtL._AC_UL320_.jpg,https://www.amazon.in/ORTHO-JOY-Womens-Doctor-Slippers/dp/B08CHK1H11/ref=sr_1_36?qid=1679211495&s=shoes&sr=1-36,4.0,"3,218",₹358,₹449
Hush Puppies Men's Charles Toe Ring Flip Flops Thong Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/I/81tVgwc9asL._AC_UL320_.jpg,https://www.amazon.in/Hush-Puppies-Charles-Sandals-9-8744952/dp/B077FYLGCZ/ref=sr_1_37?qid=1679211495&s=shoes&sr=1-37,4.2,655,"₹1,209","₹2,699"
PARAGON Women's Solea Ankle Strap,women's shoes,Shoes,https://m.media-amazon.com/images/I/5180Hd80a1L._AC_UL320_.jpg,https://www.amazon.in/Paragon-Womens-Fashion-Slipper-8-PU7097L/dp/B071V9KL4J/ref=sr_1_38?qid=1679211495&s=shoes&sr=1-38,4.1,"8,104",₹247,₹309
crocs unisex-adult Classic Flip Flip-Flop,women's shoes,Shoes,https://m.media-amazon.com/images/I/71T1xLJAN4L._AC_UL320_.jpg,https://www.amazon.in/crocs-Classic-Flip-207713-410-Women/dp/B0BQC1Y1CD/ref=sr_1_39?qid=1679211495&s=shoes&sr=1-39,3.1,12,₹897,"₹2,495"
MOHUK Round Open Toe Kolhapuri Style Flat Sandals for Women,women's shoes,Shoes,https://m.media-amazon.com/images/I/711ydlKkCiL._AC_UL320_.jpg,https://www.amazon.in/MOHUK-Round-Kolhapuri-Sandals-numeric_5/dp/B0BKT5FB94/ref=sr_1_40?qid=1679211495&s=shoes&sr=1-40,4.6,8,₹299,₹999
layasa Comfotable Lightweight Casual Sneaker for Women/Girls,women's shoes,Shoes,https://m.media-amazon.com/images/I/71dsmh1-tAL._AC_UL320_.jpg,https://www.amazon.in/layasa-Comfotable-Lightweight-Sneaker-Numeric_3/dp/B0B8YBG34L/ref=sr_1_41?qid=1679211495&s=shoes&sr=1-41,3.8,933,₹299,₹999
Doctor Walk House Slipper for Women's Care Dr Orthopedic Super Comfort Fitting Flat Flip-Flop for Ladies and Girl’s_04ome...,women's shoes,Shoes,https://m.media-amazon.com/images/I/61xOFX2AzNL._AC_UL320_.jpg,https://www.amazon.in/Doctor-Walk-Orthopedic-Girls_04omens-Orthopaedic/dp/B0BRSGNK5T/ref=sr_1_42?qid=1679211495&s=shoes&sr=1-42,3.8,9,₹269,₹799
BATA Women's Aerial Sandal Flat,women's shoes,Shoes,https://m.media-amazon.com/images/I/71kD+3c8KFL._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-AERIAL-SANDAL-Sandals/dp/B09WDKVLZ7/ref=sr_1_43?qid=1679211495&s=shoes&sr=1-43,4.2,214,₹412,₹699
"ASIAN Women's Elasto-02 Knitted,Sports,Walking,Slipon Shoes",women's shoes,Shoes,https://m.media-amazon.com/images/I/61CaHEZfCDL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Womens-Elasto-02-Knitted-Walking/dp/B09W68J416/ref=sr_1_44?qid=1679211495&s=shoes&sr=1-44,4.1,"10,708",₹704,"₹1,499"
BATA Women's Shine Tr Flat Sandal,women's shoes,Shoes,https://m.media-amazon.com/images/I/71C661mWp1L._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-SHINE-Beige-Slipper/dp/B09W5Z3H18/ref=sr_1_45?qid=1679211495&s=shoes&sr=1-45,4.0,172,₹383,₹599
BATA womens Laser Stud Mule Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/I/71XuHW95C8L._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Fashion-Slippers-5-6713890/dp/B07X5J81WY/ref=sr_1_46?qid=1679211495&s=shoes&sr=1-46,4.0,"1,030",₹539,"₹1,066"
Sparx Women's Velvet Basic Flip-Flops and House Slippers,women's shoes,Shoes,https://m.media-amazon.com/images/I/714cznDkj3L._AC_UL320_.jpg,https://www.amazon.in/Sparx-Womens-Black-Slippers-5-SF0019L/dp/B07QRXPPFD/ref=sr_1_47?qid=1679211495&s=shoes&sr=1-47,4.2,"11,047",₹318,₹374
Paragon Women's Fashion Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/I/71vTqbSGJtL._AC_UL320_.jpg,https://www.amazon.in/PARAGON-Womens-Flip-Flops-6-India-EV1279L/dp/B07H9QH39L/ref=sr_1_48?qid=1679211495&s=shoes&sr=1-48,4.1,"14,517",,₹214
BATA Women Deva Thong Slippers,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71senrTv1mL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Thong-Slippers-5-6718970/dp/B07LDHZFDK/ref=sr_1_193?qid=1679211497&s=shoes&sr=1-193,4.1,786,₹647,₹999
PARAGON Women's Trendy Maroon Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61YxLJeKJ3L._AC_UL320_.jpg,https://www.amazon.in/PARAGON-PU77075LMaroon-Womens-Pink-Sandals/dp/B09B28MKBL/ref=sr_1_194?qid=1679211497&s=shoes&sr=1-194,3.8,105,₹279,₹349
Skechers womens Vinyasa - Stone Candy SLIPPER,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51JhN-LPXcL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Vinyasa-Stone-Candy-Black/dp/B07WCQS8XK/ref=sr_1_195?qid=1679211497&s=shoes&sr=1-195,4.1,106,"₹1,579","₹3,299"
ORTHO JOY Extra-Soft Comfortable Fancy Slippers Flip Flop for women,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61s6NApnk6L._AC_UL320_.jpg,https://www.amazon.in/ORTHO-JOY-Comfortable-Fancy-Slippers/dp/B08P8PFL5L/ref=sr_1_196?qid=1679211497&s=shoes&sr=1-196,3.8,"1,247",₹709,₹999
Campus Women Aanya Walking Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Fql1QGTlL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Aanya-Running-Shoes/dp/B09HJFVXJN/ref=sr_1_197?qid=1679211497&s=shoes&sr=1-197,3.8,331,₹551,₹799
BATA Women's Bari Fashion Slippers,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61WCiDA7G1L._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Fashion-Slippers-8-5713216/dp/B07X8XZ12G/ref=sr_1_198?qid=1679211497&s=shoes&sr=1-198,4.0,612,₹371,₹599
"TRASE Women's Fashion Sandals | Light weight, Comfortable & Trendy Floaters for Girls & Women | Soft Footbed, Casual and S...",women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zAuKJ7nLS._AC_UL320_.jpg,https://www.amazon.in/TRASE-White-Sea-Green-Sandals-Women/dp/B0966CHS5X/ref=sr_1_199?qid=1679211497&s=shoes&sr=1-199,3.6,"1,366",₹499,"₹1,699"
layasa Comfotable Lightweight Casual Sneaker for Women/Girls743,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81arFCFUcZL._AC_UL320_.jpg,https://www.amazon.in/layasa-Comfotable-Lightweight-Girls743-Numeric_6/dp/B0BG3XTBD6/ref=sr_1_200?qid=1679211497&s=shoes&sr=1-200,3.9,142,₹379,₹999
POLITA Women's Flip Flop & Slippers Black,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71b6Da+YjML._AC_UL320_.jpg,https://www.amazon.in/POLITA-Womens-Slippers-Black-numeric_6/dp/B0B1BB1V9Y/ref=sr_1_201?qid=1679211497&s=shoes&sr=1-201,3.4,54,₹99,₹499
Neeraj Traders Woman Transparent heels Sandals | Heel Sandals For Women's and Girl's | Women Sandals (Heel Sandal),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51YrVEN5iWL._AC_UL320_.jpg,https://www.amazon.in/Neeraj-Traders-Transparent-Sandals-Sandal-Transparent-38/dp/B0BXLJMLPV/ref=sr_1_202?qid=1679211497&s=shoes&sr=1-202,,,₹329,₹699
Mochi Womens Synthetic Mules,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61m+E8AfLYL._AC_UL320_.jpg,https://www.amazon.in/Mochi-Women-Synthetic-Mules-41-3627-24-39/dp/B07ZS5VGMJ/ref=sr_1_203?qid=1679211497&s=shoes&sr=1-203,4.1,379,"₹1,014","₹1,690"
BATA Womens Terrance Cushion Brown Slipper - 9 UK (8714843),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71+mcZ9OODL._AC_UL320_.jpg,https://www.amazon.in/Terrance-Cushion-Brown-Slipper-9-8714843/dp/B0931JFVMM/ref=sr_1_204?qid=1679211497&s=shoes&sr=1-204,3.9,254,₹503,₹852
Crocs Women KadeeII White Sandal- (206756-100) - 7 UK Women (W9),women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61LKz7Afv-L._AC_UL320_.jpg,https://www.amazon.in/crocs-White-Fashion-Sandals-206756-100/dp/B0888S467Z/ref=sr_1_205?qid=1679211497&s=shoes&sr=1-205,3.9,"11,200","₹1,040","₹2,295"
Shoestail Women's Flip-Flops & Slippers | Doctor Ortho Comfortable Chappal for Women & Girls | Comfortable & Stylish | Dia...,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/713NwkdVfHL._AC_UL320_.jpg,https://www.amazon.in/Shoestail-Flip-Flops-Comfortable-Orthopedic-numeric_8/dp/B0BRMYJ5CL/ref=sr_1_206?qid=1679211497&s=shoes&sr=1-206,4.6,3,₹399,₹999
ZOVIM Women Shoes Chunky Sneakers Shoes for Womens and Girls Stylish R5,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51rBm4fl0LL._AC_UL320_.jpg,https://www.amazon.in/ZOVIM-Chunky-Sneakers-Stylish-R5-White-5/dp/B0BTPCHSNX/ref=sr_1_207?qid=1679211497&s=shoes&sr=1-207,4.3,13,₹799,₹999
"ASIAN Women's Barfi-02 Running,Walking,Gym,Training,Casual,Sports Shoes…",women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61knxbEE3CL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Barfi-02-Knitted-Sneakers-Walking/dp/B07YMDN3DB/ref=sr_1_208?qid=1679211497&s=shoes&sr=1-208,3.8,"3,517",₹334,₹499
BATA Girl's Eleanor Mule Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81pDmcMPHZS._AC_UL320_.jpg,https://www.amazon.in/BATA-Eleanor-Fashion-Slippers-5-6715986/dp/B08DJ5P3L6/ref=sr_1_209?qid=1679211497&s=shoes&sr=1-209,3.8,166,₹766,"₹1,299"
Flavia Women's Running Shoes,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71MQo6ExrAL._AC_UL320_.jpg,https://www.amazon.in/Flavia-Walking-FKT-ST1901-BLK/dp/B0845BSDLR/ref=sr_1_210?qid=1679211497&s=shoes&sr=1-210,3.4,381,₹299,"₹1,499"
crocs Women's Outdoor Sandals,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81WSykrnPYL._AC_UL320_.jpg,https://www.amazon.in/crocs-Womens-Fashion-Sandals-4-206081-066/dp/B07SDH9RWV/ref=sr_1_211?qid=1679211497&s=shoes&sr=1-211,4.1,"9,460","₹2,082","₹3,495"
Flavia Women's Sneaker,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/816fwX-ZjcL._AC_UL320_.jpg,https://www.amazon.in/Flavia-Walking-FKT-SP017-NUDE/dp/B0845C9W6Z/ref=sr_1_212?qid=1679211497&s=shoes&sr=1-212,4.1,"1,344",₹359,"₹1,799"
Puma Women's Love Wn S Closed Shoe,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PincPVeQL._AC_UL320_.jpg,https://www.amazon.in/PUMA-Womens-White-Marshmallow-Sneaker-4062451625504/dp/B07SF2JN7P/ref=sr_1_213?qid=1679211497&s=shoes&sr=1-213,4.3,122,"₹1,729","₹4,999"
ASIAN Women's & Girl's Slipper…,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61QlfHR7OqL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Womens-Girls-Black-Slipper/dp/B088MF4XXP/ref=sr_1_214?qid=1679211497&s=shoes&sr=1-214,3.5,"2,240",₹269,₹499
Neeman's Eco Flip Flops for Women | Comfortable Indoor Outdoor Fashionable Slippers for Girls,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61QahEnUIJL._AC_UL320_.jpg,https://www.amazon.in/Neemans-Slippers-Comfortable-Lightwear-numeric_6/dp/B09BD26G4Z/ref=sr_1_215?qid=1679211497&s=shoes&sr=1-215,3.8,"2,410",₹439,₹799
BATA womens Palm Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/710haDWVCSL._AC_UL320_.jpg,https://www.amazon.in/Bata-Womens-Black-Slipper-7-6716105/dp/B0931SCK5D/ref=sr_1_216?qid=1679211497&s=shoes&sr=1-216,4.0,404,₹383,₹499
Duosoft Doctor Walk House Slipper for Women's Care Dr Orthopedic Super Comfort Fitting Flat Flip-Flop for Ladies and Girl’s,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61OELNIRrpL._AC_UL320_.jpg,https://www.amazon.in/Duosoft-Slipper-Orthopedic-Comfort-Flip-Flop/dp/B0BSNDFYZN/ref=sr_1_217?qid=1679211497&s=shoes&sr=1-217,3.4,14,₹217.55,₹798
Women Stylish Fancy and Comfort Trending Block Heel Fashion,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/517mJ825-hL._AC_UL320_.jpg,https://www.amazon.in/Women-Stylish-Comfort-Trending-Fashion/dp/B0BK69SLP1/ref=sr_1_218?qid=1679211497&s=shoes&sr=1-218,3.7,15,₹297,₹999
BATA Women's New Sunshine Slipper,women's shoes,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51UBfAvW8eL._AC_UL320_.jpg,https://www.amazon.in/BATA-Womens-Sunshine-Flops-5719667/dp/B09W618XY5/ref=sr_1_219?qid=1679211497&s=shoes&sr=1-219,3.9,123,₹275,₹399
